instance_id,repetition,algorithm,runtime,runstatus
BF10_cpmp_16_8_77_16_58_13,1.0,astar-symmulgt-transmul,3600.0,memout
BF10_cpmp_16_8_77_16_58_3,1.0,astar-symmulgt-transmul,3600.0,memout
BF10_cpmp_16_8_77_16_58_8,1.0,astar-symmulgt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_10,1.0,astar-symmulgt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_11,1.0,astar-symmulgt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_16,1.0,astar-symmulgt-transmul,182.019,ok
BF11_cpmp_16_8_77_31_47_6,1.0,astar-symmulgt-transmul,3600.0,memout
BF11_cpmp_16_8_77_31_47_7,1.0,astar-symmulgt-transmul,2.28,ok
BF12_cpmp_16_8_77_31_58_14,1.0,astar-symmulgt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_1,1.0,astar-symmulgt-transmul,0.052,ok
BF17_cpmp_20_5_60_12_36_10,1.0,astar-symmulgt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_11,1.0,astar-symmulgt-transmul,1.096,ok
BF17_cpmp_20_5_60_12_36_12,1.0,astar-symmulgt-transmul,10.053,ok
BF17_cpmp_20_5_60_12_36_15,1.0,astar-symmulgt-transmul,0.024,ok
BF17_cpmp_20_5_60_12_36_16,1.0,astar-symmulgt-transmul,1.008,ok
BF17_cpmp_20_5_60_12_36_17,1.0,astar-symmulgt-transmul,33.774,ok
BF17_cpmp_20_5_60_12_36_2,1.0,astar-symmulgt-transmul,0.044,ok
BF17_cpmp_20_5_60_12_36_20,1.0,astar-symmulgt-transmul,0.024,ok
BF17_cpmp_20_5_60_12_36_3,1.0,astar-symmulgt-transmul,0.028,ok
BF17_cpmp_20_5_60_12_36_4,1.0,astar-symmulgt-transmul,171.987,ok
BF17_cpmp_20_5_60_12_36_5,1.0,astar-symmulgt-transmul,3600.0,memout
BF17_cpmp_20_5_60_12_36_6,1.0,astar-symmulgt-transmul,0.028,ok
BF17_cpmp_20_5_60_12_36_7,1.0,astar-symmulgt-transmul,0.156,ok
BF17_cpmp_20_5_60_12_36_8,1.0,astar-symmulgt-transmul,1.46,ok
BF18_cpmp_20_5_60_12_45_1,1.0,astar-symmulgt-transmul,0.06,ok
BF18_cpmp_20_5_60_12_45_12,1.0,astar-symmulgt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_13,1.0,astar-symmulgt-transmul,0.032,ok
BF18_cpmp_20_5_60_12_45_14,1.0,astar-symmulgt-transmul,88.109,ok
BF18_cpmp_20_5_60_12_45_15,1.0,astar-symmulgt-transmul,0.036,ok
BF18_cpmp_20_5_60_12_45_16,1.0,astar-symmulgt-transmul,0.144,ok
BF18_cpmp_20_5_60_12_45_17,1.0,astar-symmulgt-transmul,0.04,ok
BF18_cpmp_20_5_60_12_45_18,1.0,astar-symmulgt-transmul,0.248,ok
BF18_cpmp_20_5_60_12_45_19,1.0,astar-symmulgt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_2,1.0,astar-symmulgt-transmul,0.352,ok
BF18_cpmp_20_5_60_12_45_3,1.0,astar-symmulgt-transmul,5.912,ok
BF18_cpmp_20_5_60_12_45_4,1.0,astar-symmulgt-transmul,0.044,ok
BF18_cpmp_20_5_60_12_45_5,1.0,astar-symmulgt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_6,1.0,astar-symmulgt-transmul,3600.0,memout
BF18_cpmp_20_5_60_12_45_7,1.0,astar-symmulgt-transmul,1.256,ok
BF18_cpmp_20_5_60_12_45_8,1.0,astar-symmulgt-transmul,1.6,ok
BF18_cpmp_20_5_60_12_45_9,1.0,astar-symmulgt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_1,1.0,astar-symmulgt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_10,1.0,astar-symmulgt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_11,1.0,astar-symmulgt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_14,1.0,astar-symmulgt-transmul,0.036,ok
BF19_cpmp_20_5_60_24_36_15,1.0,astar-symmulgt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_16,1.0,astar-symmulgt-transmul,6.66,ok
BF19_cpmp_20_5_60_24_36_17,1.0,astar-symmulgt-transmul,0.036,ok
BF19_cpmp_20_5_60_24_36_18,1.0,astar-symmulgt-transmul,188.192,ok
BF19_cpmp_20_5_60_24_36_2,1.0,astar-symmulgt-transmul,1.948,ok
BF19_cpmp_20_5_60_24_36_20,1.0,astar-symmulgt-transmul,22.129,ok
BF19_cpmp_20_5_60_24_36_3,1.0,astar-symmulgt-transmul,3600.0,memout
BF19_cpmp_20_5_60_24_36_5,1.0,astar-symmulgt-transmul,3.572,ok
BF19_cpmp_20_5_60_24_36_6,1.0,astar-symmulgt-transmul,0.036,ok
BF19_cpmp_20_5_60_24_36_7,1.0,astar-symmulgt-transmul,5.156,ok
BF19_cpmp_20_5_60_24_36_8,1.0,astar-symmulgt-transmul,0.072,ok
BF19_cpmp_20_5_60_24_36_9,1.0,astar-symmulgt-transmul,0.048,ok
BF1_cpmp_16_5_48_10_29_1,1.0,astar-symmulgt-transmul,0.028,ok
BF1_cpmp_16_5_48_10_29_12,1.0,astar-symmulgt-transmul,3600.0,memout
